Ref,Val,Package,PosX,PosY,Rot,Side
"U6","TLP184","Toshiba_SOIC-4-6_4.4x3.6mm_P1.27mm",133.500000,-93.750000,180.000000,top
"U7","PIC18F26K22-xSO","SOIC-28W_7.5x17.9mm_P1.27mm",104.250000,-69.000000,0.000000,top
"U8","74LVC1G07","SOT-23-5",111.912500,-100.750000,90.000000,top
"U9","TLP184","Toshiba_SOIC-4-6_4.4x3.6mm_P1.27mm",119.500000,-98.750000,0.000000,top
"U10","74LVC1G07","SOT-23-5",112.000000,-108.250000,90.000000,top
"U11","TLP184","Toshiba_SOIC-4-6_4.4x3.6mm_P1.27mm",119.500000,-106.250000,0.000000,top
"U12","BQ32000","SOIC-8_3.9x4.9mm_P1.27mm",93.000000,-89.250000,-90.000000,top
"U13","MAX3232","SOIC-16_3.9x9.9mm_P1.27mm",125.000000,-66.250000,180.000000,top
"U14","MAX3485","SOIC-8_3.9x4.9mm_P1.27mm",146.750000,-73.000000,-90.000000,top
"U15","MCP6001-OT","SOT-23-5",144.862500,-45.250000,180.000000,top
"U16","MCP6001-OT","SOT-23-5",145.000000,-52.270000,180.000000,top
"Y1","Crystal","Crystal_SMD_HC49-SD",95.000000,-72.250000,90.000000,top
"Y2","Crystal","Crystal_Round_D3.0mm_Vertical",93.300000,-83.250000,0.000000,top
